Mark Twain,2,"If you tell the truth, you don't have to remember anything.",2026-04-15 13:10:00.0000000 +00:00
Maya Angelou,1,"You will face many defeats in life, but never let yourself be defeated.",2025-07-04 08:45:00.0000000 +00:00
Nelson Mandela,1,It always seems impossible until it is done.,2026-02-10 14:20:00.0000000 +00:00
Oscar Wilde,1,Be yourself; everyone else is already taken.,2025-08-02 10:10:00.0000000 +00:00
Ralph Waldo Emerson,1,Do not go where the path may lead; go instead where there is no path and leave a trail.,2025-11-19 10:25:00.0000000 +00:00
Socrates,1,The only true wisdom is in knowing you know nothing.,2025-12-14 17:30:00.0000000 +00:00
Steve Jobs,1,The only way to do great work is to love what you do.,2025-08-18 16:00:00.0000000 +00:00
Theodore Roosevelt,1,Believe you can and you are halfway there.,2026-01-22 11:00:00.0000000 +00:00
William Shakespeare,1,"To be, or not to be, that is the question.",2026-03-28 10:00:00.0000000 +00:00
Winston Churchill,1,"Success is not final, failure is not fatal: it is the courage to continue that counts.",2025-07-20 14:30:00.0000000 +00:00
Abraham Lincoln,1,"Whatever you are, be a good one.",2025-09-05 09:30:00.0000000 +00:00
Albert Einstein,1,"Life is like riding a bicycle. To keep your balance, you must keep moving.",2025-06-15 11:20:00.0000000 +00:00
Aristotle,1,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",2025-10-25 12:00:00.0000000 +00:00
Benjamin Franklin,1,Tell me and I forget. Teach me and I remember. Involve me and I learn.,2025-11-03 15:40:00.0000000 +00:00
Confucius,1,It does not matter how slowly you go as long as you do not stop.,2026-01-06 09:45:00.0000000 +00:00
Friedrich Nietzsche,1,That which does not kill us makes us stronger.,2025-09-21 13:15:00.0000000 +00:00
Henry Ford,1,"Whether you think you can or you think you cannot, you are right.",2025-12-01 08:00:00.0000000 +00:00
Lao Tzu,1,A journey of a thousand miles begins with a single step.,2026-03-03 08:30:00.0000000 +00:00
Mahatma Gandhi,1,Be the change you wish to see in the world.,2025-10-08 07:50:00.0000000 +00:00
