Abraham Lincoln,"Whatever you are, be a good one.",2025-09-05 09:30:00.0000000 +00:00,1,71,,2026-05-08 09:00:00.0000000 +00:00,7
Abraham Lincoln,Give me six hours to chop down a tree and I will spend the first four sharpening the axe.,2026-05-08 09:00:00.0000000 +00:00,2,39,245,2026-05-09 10:00:00.0000000 +00:00,39
Abraham Lincoln,"In the end, it's not the years in your life that count. It's the life in your years.",2026-05-09 10:00:00.0000000 +00:00,3,38,1,2026-05-10 11:00:00.0000000 +00:00,40
Abraham Lincoln,"Nearly all men can stand adversity, but to test a man's character, give him power.",2026-05-10 11:00:00.0000000 +00:00,4,37,1,,41
Albert Einstein,"Life is like riding a bicycle. To keep your balance, you must keep moving.",2025-06-15 11:20:00.0000000 +00:00,1,76,,2026-04-23 09:00:00.0000000 +00:00,2
Albert Einstein,Imagination is more important than knowledge.,2026-04-23 09:00:00.0000000 +00:00,2,54,312,2026-04-24 10:00:00.0000000 +00:00,24
Albert Einstein,A person who never made a mistake never tried anything new.,2026-04-24 10:00:00.0000000 +00:00,3,53,1,2026-04-25 11:00:00.0000000 +00:00,25
Albert Einstein,The measure of intelligence is the ability to change.,2026-04-25 11:00:00.0000000 +00:00,4,52,1,,26
Aristotle,"We are what we repeatedly do. Excellence, then, is not an act, but a habit.",2025-10-25 12:00:00.0000000 +00:00,1,68,,2026-05-14 09:00:00.0000000 +00:00,10
Aristotle,Knowing yourself is the beginning of all wisdom.,2026-05-14 09:00:00.0000000 +00:00,2,30,201,2026-05-14 12:00:00.0000000 +00:00,48
Aristotle,"The more you know, the more you know you don't know.",2026-05-14 12:00:00.0000000 +00:00,3,29,0,2026-05-15 09:00:00.0000000 +00:00,49
Aristotle,Happiness depends upon ourselves.,2026-05-15 09:00:00.0000000 +00:00,4,28,1,,50
Benjamin Franklin,Tell me and I forget. Teach me and I remember. Involve me and I learn.,2025-11-03 15:40:00.0000000 +00:00,1,67,,2026-05-15 12:00:00.0000000 +00:00,11
Benjamin Franklin,An investment in knowledge pays the best interest.,2026-05-15 12:00:00.0000000 +00:00,2,27,193,2026-05-16 09:00:00.0000000 +00:00,51
Benjamin Franklin,"By failing to prepare, you are preparing to fail.",2026-05-16 09:00:00.0000000 +00:00,3,26,1,2026-05-16 12:00:00.0000000 +00:00,52
Benjamin Franklin,"Early to bed and early to rise makes a man healthy, wealthy, and wise.",2026-05-16 12:00:00.0000000 +00:00,4,25,0,,53
Confucius,It does not matter how slowly you go as long as you do not stop.,2026-01-06 09:45:00.0000000 +00:00,1,63,,2026-05-20 12:00:00.0000000 +00:00,15
Confucius,"Everything has beauty, but not everyone sees it.",2026-05-20 12:00:00.0000000 +00:00,2,15,134,2026-05-20 13:00:00.0000000 +00:00,63
Confucius,The man who asks a question is a fool for a minute; the man who does not ask is a fool for his life.,2026-05-20 13:00:00.0000000 +00:00,3,14,0,2026-05-20 14:00:00.0000000 +00:00,64
Confucius,"Life is really simple, but we insist on making it complicated.",2026-05-20 14:00:00.0000000 +00:00,4,13,0,,65
Friedrich Nietzsche,That which does not kill us makes us stronger.,2025-09-21 13:15:00.0000000 +00:00,1,70,,2026-05-11 09:00:00.0000000 +00:00,8
Friedrich Nietzsche,"Without music, life would be a mistake.",2026-05-11 09:00:00.0000000 +00:00,2,36,232,2026-05-11 12:00:00.0000000 +00:00,42
Friedrich Nietzsche,He who has a why to live can bear almost any how.,2026-05-11 12:00:00.0000000 +00:00,3,35,0,2026-05-12 09:00:00.0000000 +00:00,43
Friedrich Nietzsche,"There are no facts, only interpretations.",2026-05-12 09:00:00.0000000 +00:00,4,34,1,,44
Henry Ford,"Whether you think you can or you think you cannot, you are right.",2025-12-01 08:00:00.0000000 +00:00,1,65,,2026-05-18 12:00:00.0000000 +00:00,13
Henry Ford,Coming together is a beginning; staying together is progress; working together is success.,2026-05-18 12:00:00.0000000 +00:00,2,21,168,2026-05-19 09:00:00.0000000 +00:00,57
Henry Ford,"Failure is simply the opportunity to begin again, this time more intelligently.",2026-05-19 09:00:00.0000000 +00:00,3,20,1,2026-05-19 12:00:00.0000000 +00:00,58
Henry Ford,"Anyone who stops learning is old, whether at twenty or eighty.",2026-05-19 12:00:00.0000000 +00:00,4,19,0,,59
Lao Tzu,A journey of a thousand miles begins with a single step.,2026-03-03 08:30:00.0000000 +00:00,1,60,,2026-05-21 13:00:00.0000000 +00:00,18
Lao Tzu,"Nature does not hurry, yet everything is accomplished.",2026-05-21 13:00:00.0000000 +00:00,2,6,79,2026-05-21 14:00:00.0000000 +00:00,72
Lao Tzu,"When I let go of what I am, I become what I might be.",2026-05-21 14:00:00.0000000 +00:00,3,5,0,2026-05-21 15:00:00.0000000 +00:00,73
Lao Tzu,The flame that burns twice as bright burns half as long.,2026-05-21 15:00:00.0000000 +00:00,4,4,0,,74
Mahatma Gandhi,Be the change you wish to see in the world.,2025-10-08 07:50:00.0000000 +00:00,1,69,,2026-05-12 12:00:00.0000000 +00:00,9
Mahatma Gandhi,Strength does not come from physical capacity. It comes from an indomitable will.,2026-05-12 12:00:00.0000000 +00:00,2,33,216,2026-05-13 09:00:00.0000000 +00:00,45
Mahatma Gandhi,An eye for an eye only ends up making the whole world blind.,2026-05-13 09:00:00.0000000 +00:00,3,32,1,2026-05-13 12:00:00.0000000 +00:00,46
Mahatma Gandhi,The weak can never forgive. Forgiveness is the attribute of the strong.,2026-05-13 12:00:00.0000000 +00:00,4,31,0,,47
Mark Twain,The secret of getting ahead is getting started.,2025-06-01 09:00:00.0000000 +00:00,1,77,,2026-04-15 13:10:00.0000000 +00:00,1
Mark Twain,"If you tell the truth, you don't have to remember anything.",2026-04-15 13:10:00.0000000 +00:00,2,58,318,2026-04-20 09:00:00.0000000 +00:00,20
Mark Twain,"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",2026-04-20 09:00:00.0000000 +00:00,3,57,5,2026-04-21 10:00:00.0000000 +00:00,21
Mark Twain,Twenty years from now you will be more disappointed by the things you did not do than by the ones you did.,2026-04-21 10:00:00.0000000 +00:00,4,56,1,2026-04-22 11:00:00.0000000 +00:00,22
Mark Twain,It ain't what you don't know that gets you into trouble. It's what you know for sure that just ain't so.,2026-04-22 11:00:00.0000000 +00:00,5,55,1,,23
Maya Angelou,"You will face many defeats in life, but never let yourself be defeated.",2025-07-04 08:45:00.0000000 +00:00,1,75,,2026-04-26 09:00:00.0000000 +00:00,3
Maya Angelou,Nothing will work unless you do.,2026-04-26 09:00:00.0000000 +00:00,2,51,296,2026-04-27 10:00:00.0000000 +00:00,27
Maya Angelou,Try to be a rainbow in someone's cloud.,2026-04-27 10:00:00.0000000 +00:00,3,50,1,2026-04-28 11:00:00.0000000 +00:00,28
Maya Angelou,I've learned that people will never forget how you made them feel.,2026-04-28 11:00:00.0000000 +00:00,4,49,1,,29
Nelson Mandela,It always seems impossible until it is done.,2026-02-10 14:20:00.0000000 +00:00,1,61,,2026-05-21 10:00:00.0000000 +00:00,17
Nelson Mandela,Education is the most powerful weapon you can use to change the world.,2026-05-21 10:00:00.0000000 +00:00,2,9,100,2026-05-21 11:00:00.0000000 +00:00,69
Nelson Mandela,Do not judge me by my successes; judge me by how many times I fell down and got back up.,2026-05-21 11:00:00.0000000 +00:00,3,8,0,2026-05-21 12:00:00.0000000 +00:00,70
Nelson Mandela,A winner is a dreamer who never gives up.,2026-05-21 12:00:00.0000000 +00:00,4,7,0,,71
Oscar Wilde,Be yourself; everyone else is already taken.,2025-08-02 10:10:00.0000000 +00:00,1,73,,2026-05-02 09:00:00.0000000 +00:00,5
Oscar Wilde,"To live is the rarest thing in the world. Most people exist, that is all.",2026-05-02 09:00:00.0000000 +00:00,2,45,273,2026-05-03 10:00:00.0000000 +00:00,33
Oscar Wilde,I can resist everything except temptation.,2026-05-03 10:00:00.0000000 +00:00,3,44,1,2026-05-04 11:00:00.0000000 +00:00,34
Oscar Wilde,Always forgive your enemies; nothing annoys them so much.,2026-05-04 11:00:00.0000000 +00:00,4,43,1,,35
Ralph Waldo Emerson,Do not go where the path may lead; go instead where there is no path and leave a trail.,2025-11-19 10:25:00.0000000 +00:00,1,66,,2026-05-17 09:00:00.0000000 +00:00,12
Ralph Waldo Emerson,What lies within us dwarfs what lies behind or before us.,2026-05-17 09:00:00.0000000 +00:00,2,24,179,2026-05-17 12:00:00.0000000 +00:00,54
Ralph Waldo Emerson,The only way to have a friend is to be one.,2026-05-17 12:00:00.0000000 +00:00,3,23,0,2026-05-18 09:00:00.0000000 +00:00,55
Ralph Waldo Emerson,"Life is a journey, not a destination.",2026-05-18 09:00:00.0000000 +00:00,4,22,1,,56
Socrates,The only true wisdom is in knowing you know nothing.,2025-12-14 17:30:00.0000000 +00:00,1,64,,2026-05-20 09:00:00.0000000 +00:00,14
Socrates,An unexamined life is not worth living.,2026-05-20 09:00:00.0000000 +00:00,2,18,157,2026-05-20 10:00:00.0000000 +00:00,60
Socrates,"Education is the kindling of a flame, not the filling of a vessel.",2026-05-20 10:00:00.0000000 +00:00,3,17,0,2026-05-20 11:00:00.0000000 +00:00,61
Socrates,"I know that I am intelligent, because I know that I know nothing.",2026-05-20 11:00:00.0000000 +00:00,4,16,0,,62
Steve Jobs,The only way to do great work is to love what you do.,2025-08-18 16:00:00.0000000 +00:00,1,72,,2026-05-05 09:00:00.0000000 +00:00,6
Steve Jobs,Innovation distinguishes between a leader and a follower.,2026-05-05 09:00:00.0000000 +00:00,2,42,260,2026-05-06 10:00:00.0000000 +00:00,36
Steve Jobs,"Stay hungry, stay foolish.",2026-05-06 10:00:00.0000000 +00:00,3,41,1,2026-05-07 11:00:00.0000000 +00:00,37
Steve Jobs,Design is not just what it looks like. Design is how it works.,2026-05-07 11:00:00.0000000 +00:00,4,40,1,,38
Theodore Roosevelt,Believe you can and you are halfway there.,2026-01-22 11:00:00.0000000 +00:00,1,62,,2026-05-20 15:00:00.0000000 +00:00,16
